chain_name,chain_id,code,name,product,tier,total_score,pct_chg,price,pre_close,amount_yi,time,moat_score,growth_score,profit_score,stage_score,evidence_score
第六代移动通信,sixth_generation_6g,300308.SZ,中际旭创,高速光模块,第一梯队,91.0,3.0612423447069124,1177.99,1143.0,196.99968474279999,10:52:51,19.0,15.0,12.0,18.0,12.0
第六代移动通信,sixth_generation_6g,688313.SH,仕佳光子,光芯片,观察池,60.2,2.106767758374256,164.3,160.91,13.28556219,10:52:52,19.0,10.2,12.0,6.0,4.0
第六代移动通信,sixth_generation_6g,600522.SH,中天科技,光通信/海缆,第二梯队,72.4,1.3377278014734488,52.27,51.58,63.32334203,10:52:50,19.0,8.1,6.3,18.0,12.0
第六代移动通信,sixth_generation_6g,000063.SZ,中兴通讯,通信设备,第二梯队,75.8,0.9343148357870846,35.65,35.32,17.2206450294,10:52:51,19.0,0.0,8.8,18.0,18.0
第六代移动通信,sixth_generation_6g,688418.SH,震有科技,卫星通信/核心网,第一梯队,79.0,0.6212424849699445,50.21,49.9,1.6724526,10:52:52,19.0,0.0,8.0,18.0,18.0
脑机接口,brain_computer_interface,300007.SZ,汉威科技,柔性传感/脑机材料线索,第一梯队,84.9,4.651162790697665,41.4,39.56,7.3534017056,10:52:51,20.0,7.1,8.8,18.0,18.0
脑机接口,brain_computer_interface,688277.SH,天智航,手术机器人/神经外科线索,暂不优先,35.0,3.5077630822311643,18.0,17.39,1.09162864,10:52:52,14.0,0.0,8.0,0.0,0.0
脑机接口,brain_computer_interface,300753.SZ,爱朋医疗,神经调控/麻醉镇痛,第二梯队,77.0,-0.2979145978153042,20.08,20.14,0.7030288564,10:52:51,20.0,0.0,8.0,18.0,18.0
脑机接口,brain_computer_interface,300238.SZ,冠昊生物,再生医学/神经修复,第二梯队,66.7,-0.581395348837197,11.97,12.04,0.5294236606,10:52:51,20.0,1.9,9.8,6.0,18.0
脑机接口,brain_computer_interface,688580.SH,伟思医疗,康复/神经刺激,第一梯队,94.8,-0.6567576909782278,57.48,57.86,0.8223941,10:52:48,20.0,11.2,11.6,18.0,18.0
脑机接口,brain_computer_interface,300003.SZ,乐普医疗,神经介入/医疗器械,第二梯队,71.2,-0.8799999999999953,12.39,12.5,2.9079421813999997,10:52:51,20.0,1.7,9.5,6.0,18.0
量子科技,quantum_technology,002281.SZ,光迅科技,量子通信光器件,第一梯队,88.6,3.304459416105233,225.4,218.19,54.32563221109999,10:52:51,21.0,11.5,9.1,18.0,18.0
量子科技,quantum_technology,600105.SH,永鼎股份,量子通信/光通信线索,暂不优先,40.5,2.0814801636719475,57.38,56.21,29.25757044,10:52:50,15.0,7.0,10.5,0.0,0.0
量子科技,quantum_technology,000988.SZ,华工科技,激光/量子通信器件,第一梯队,90.5,1.9142125480153709,159.19,156.2,53.6568332724,10:52:51,21.0,11.6,9.0,18.0,18.0
量子科技,quantum_technology,688256.SH,寒武纪,量子计算相关算力替代观察,第二梯队,67.6,0.881195335276962,1384.09,1372.0,70.88859548,10:52:52,19.0,15.0,12.0,6.0,3.6
量子科技,quantum_technology,688027.SH,国盾量子,量子通信/QKD,第一梯队,80.0,0.8098607217550045,453.1,449.46,4.76339158,10:52:51,21.0,7.0,8.0,18.0,18.0
