trade_date,rank,code,name,stk_code,stk_name,industry,route,grade,total_score,price,maturity_call_price,maturity_call_price_source,price_gap,premium_rate,maturity_days_left,remain_size_yi,pledge_total_ratio,route_a_score,route_b_score,revision_countdown_score,revision_history_score,governance_score,theme_score,liquidity_score,call_risk,risk_flags,missing_fields
2026-06-24,5,110075.SH,南航转债,600029,南方航空,空运,底价观察,C,38.8,108.7,106.5,cb_basic.maturity_call_price,2.2,27.75,107,58.96,,41.5,50.0,,,60.0,,14.1,安全,[],"[""pledge_total_ratio"", ""ownership_nature""]"
2026-06-24,6,113605.SH,大参转债,603233,大参林,医药商业,底价观察,C,38.0,112.86,110.0,cb_basic.maturity_call_price,2.86,19.6,114,14.05,,43.3,53.0,,,60.0,,5.0,安全,[],"[""pledge_total_ratio"", ""ownership_nature""]"
2026-06-24,7,123088.SZ,威唐转债,300707,威唐工业,汽车配件,B下修事件,C,35.4,119.15,115.0,cb_basic.maturity_call_price,4.15,49.31,168,3.0,,34.3,83.0,,,60.0,,7.0,安全,[],"[""pledge_total_ratio"", ""ownership_nature""]"
2026-06-24,8,123064.SZ,万孚转债,300482,万孚生物,医疗保健,底价观察,C,34.4,114.2,110.0,cb_basic.maturity_call_price,4.2,24.0,63,5.98,,44.6,53.0,,,60.0,,25.3,安全,[],"[""pledge_total_ratio"", ""ownership_nature""]"
2026-06-24,9,110076.SH,华海转债,600521,华海药业,化学制药,底价观察,C,30.6,114.16,110.0,cb_basic.maturity_call_price,4.16,27.97,125,18.42,,40.4,53.0,,,60.0,,7.8,安全,[],"[""pledge_total_ratio"", ""ownership_nature""]"
2026-06-25,1,127041.SZ,弘亚转债,002833,弘亚数控,专用机械,底价观察,B,58.2,115.3,115.0,cb_call.call_price,0.3,8.8,12,5.52,,59.3,53.0,,,60.0,,50.0,安全,[],"[""pledge_total_ratio"", ""ownership_nature""]"
2026-06-25,2,123059.SZ,银信转债,300231,银信科技,软件服务,底价观察,B,56.1,118.03,118.0,cb_call.call_price,0.03,27.52,15,1.57,,45.5,53.0,,,60.0,,50.0,安全,[],"[""pledge_total_ratio"", ""ownership_nature""]"
2026-06-25,3,128138.SZ,侨银转债,002973,侨银股份,环境保护,B下修事件,B,55.1,129.73,130.0,cb_basic.maturity_call_price,-0.27,63.17,140,4.2,,39.2,83.0,,,60.0,,50.0,安全,[],"[""pledge_total_ratio"", ""ownership_nature""]"
2026-06-25,4,113597.SH,佳力转债,603912,佳力图,专用机械,底价观察,B,50.6,119.39,118.0,cb_call.call_price,1.39,22.64,30,2.97,,49.2,53.0,,,60.0,,50.0,安全,[],"[""pledge_total_ratio"", ""ownership_nature""]"
2026-06-25,5,113605.SH,大参转债,603233,大参林,医药商业,底价观察,C,40.8,113.24,110.0,cb_basic.maturity_call_price,3.24,19.93,114,14.05,,49.8,53.0,,,60.0,,50.0,安全,[],"[""pledge_total_ratio"", ""ownership_nature""]"
