trade_date,rank,code,name,stk_code,stk_name,route,grade,total_score,price,maturity_call_price,maturity_call_price_source,price_gap,premium_rate,maturity_days_left,remain_size,pledge_total_ratio,route_a_score,route_b_score,revision_countdown_score,revision_history_score,governance_score,theme_score,liquidity_score,risk_flags,missing_fields
2026-06-17,9,123088.SZ,威唐转债,300707,威唐工业,B下修事件,C,32.3,119.9,115.0,cb_basic.maturity_call_price,4.9,47.65,168,,,33.4,83.0,,,60.0,,6.8,[],"[""pledge_total_ratio"", ""ownership_nature""]"
2026-06-18,1,127041.SZ,弘亚转债,002833,弘亚数控,底价观察,B,52.7,115.82,115.0,cb_call.call_price,0.82,6.53,12,,,53.9,53.0,,,60.0,,6.4,[],"[""pledge_total_ratio"", ""ownership_nature""]"
2026-06-18,2,128125.SZ,华阳转债,002949,华阳国际,B下修事件,B,50.9,112.98,113.0,cb_call.call_price,-0.02,48.45,30,,,33.5,83.0,,,60.0,,8.5,[],"[""pledge_total_ratio"", ""ownership_nature""]"
2026-06-18,3,123059.SZ,银信转债,300231,银信科技,底价观察,B,50.3,118.6,118.0,cb_call.call_price,0.6,22.97,15,,,40.9,53.0,,,60.0,,5.0,[],"[""pledge_total_ratio"", ""ownership_nature""]"
2026-06-18,4,113597.SH,佳力转债,603912,佳力图,底价观察,C,43.5,120.5,118.0,cb_call.call_price,2.5,20.5,30,,,44.7,53.0,,,60.0,,18.7,[],"[""pledge_total_ratio"", ""ownership_nature""]"
2026-06-18,5,128128.SZ,齐翔转2,002408,齐翔腾达,底价观察,C,43.1,111.9,110.0,cb_basic.maturity_call_price,1.9,18.99,51,,,43.9,53.0,,,60.0,,6.1,[],"[""pledge_total_ratio"", ""ownership_nature""]"
2026-06-18,6,110075.SH,南航转债,600029,南方航空,底价观察,C,38.9,108.81,106.5,cb_basic.maturity_call_price,2.31,26.91,107,,,41.4,50.0,,,60.0,,21.2,[],"[""pledge_total_ratio"", ""ownership_nature""]"
2026-06-18,7,113042.SH,上银转债,601229,上海银行,底价观察,C,38.8,115.9,112.0,cb_basic.maturity_call_price,3.9,9.48,209,,,53.9,53.0,,,60.0,,27.1,[],"[""pledge_total_ratio"", ""ownership_nature""]"
2026-06-18,8,123088.SZ,威唐转债,300707,威唐工业,B下修事件,C,36.6,118.95,115.0,cb_basic.maturity_call_price,3.95,45.28,168,,,34.3,83.0,,,60.0,,8.2,[],"[""pledge_total_ratio"", ""ownership_nature""]"
2026-06-18,9,113605.SH,大参转债,603233,大参林,底价观察,C,33.5,114.07,110.0,cb_basic.maturity_call_price,4.07,19.09,114,,,44.0,53.0,,,60.0,,7.5,[],"[""pledge_total_ratio"", ""ownership_nature""]"
2026-06-22,1,127041.SZ,弘亚转债,002833,弘亚数控,底价观察,B,54.8,115.42,115.0,cb_call.call_price,0.42,6.82,12,,,55.5,53.0,,,60.0,,10.1,[],"[""pledge_total_ratio"", ""ownership_nature""]"
2026-06-22,2,123059.SZ,银信转债,300231,银信科技,底价观察,B,50.8,118.85,118.0,cb_call.call_price,0.85,18.98,15,,,43.8,53.0,,,60.0,,5.4,[],"[""pledge_total_ratio"", ""ownership_nature""]"
2026-06-22,3,128125.SZ,华阳转债,002949,华阳国际,B下修事件,B,50.8,113.09,113.0,cb_call.call_price,0.09,47.36,30,,,33.9,83.0,,,60.0,,9.5,[],"[""pledge_total_ratio"", ""ownership_nature""]"
2026-06-22,4,113597.SH,佳力转债,603912,佳力图,底价观察,C,43.8,120.28,118.0,cb_call.call_price,2.28,20.01,30,,,44.9,53.0,,,60.0,,8.5,[],"[""pledge_total_ratio"", ""ownership_nature""]"
2026-06-22,5,128128.SZ,齐翔转2,002408,齐翔腾达,底价观察,C,41.6,112.54,110.0,cb_basic.maturity_call_price,2.54,16.67,51,,,46.9,53.0,,,60.0,,6.0,[],"[""pledge_total_ratio"", ""ownership_nature""]"
2026-06-22,6,110075.SH,南航转债,600029,南方航空,底价观察,C,37.6,109.1,106.5,cb_basic.maturity_call_price,2.6,27.49,107,,,41.1,50.0,,,60.0,,20.4,[],"[""pledge_total_ratio"", ""ownership_nature""]"
2026-06-22,7,113042.SH,上银转债,601229,上海银行,底价观察,C,37.4,116.48,112.0,cb_basic.maturity_call_price,4.48,7.83,209,,,55.6,53.0,,,60.0,,27.2,[],"[""pledge_total_ratio"", ""ownership_nature""]"
2026-06-22,8,113605.SH,大参转债,603233,大参林,底价观察,C,34.2,113.75,110.0,cb_basic.maturity_call_price,3.75,20.85,114,,,42.8,53.0,,,60.0,,7.7,[],"[""pledge_total_ratio"", ""ownership_nature""]"
2026-06-24,1,127041.SZ,弘亚转债,002833,弘亚数控,底价观察,B,53.7,116.5,115.0,cb_call.call_price,1.5,2.34,12,,,60.6,53.0,,,60.0,,22.0,[],"[""pledge_total_ratio"", ""ownership_nature""]"
2026-06-24,2,123059.SZ,银信转债,300231,银信科技,底价观察,B,52.0,118.24,118.0,cb_call.call_price,0.24,22.46,15,,,41.3,53.0,,,60.0,,5.0,[],"[""pledge_total_ratio"", ""ownership_nature""]"
2026-06-24,3,128125.SZ,华阳转债,002949,华阳国际,B下修事件,B,51.2,112.95,113.0,cb_call.call_price,-0.05,53.08,30,,,33.7,83.0,,,60.0,,12.9,[],"[""pledge_total_ratio"", ""ownership_nature""]"
2026-06-24,4,113597.SH,佳力转债,603912,佳力图,底价观察,B,46.3,119.57,118.0,cb_call.call_price,1.57,23.26,30,,,42.8,53.0,,,60.0,,18.6,[],"[""pledge_total_ratio"", ""ownership_nature""]"
