ts_code,end_date,bz_item,bz_code,bz_sales,bz_profit,bz_cost,curr_type,code6
300503.SZ,20140331,主轴整机-PCB成型机,P,14144800.0,8029700.0,6115100.0,CNY,300503
300503.SZ,20140331,主轴整机,P,31554700.0,18100000.0,13454700.0,CNY,300503
300503.SZ,20131231,高速加工中心,P,5500100.0,2597400.0,2902700.0,CNY,300503
300503.SZ,20131231,零配件及维修-其他,P,7466600.0,,,CNY,300503
300503.SZ,20131231,零配件及维修-PCB行业,P,51122800.0,,,CNY,300503
300503.SZ,20131231,金属雕铣,P,17761000.0,,,CNY,300503
300503.SZ,20131231,玻璃雕铣,P,129448800.0,,,CNY,300503
300503.SZ,20131231,数控雕铣机,P,147209800.0,93506300.0,53703500.0,CNY,300503
300503.SZ,20131231,富士康,P,10324000.0,,,CNY,300503
300503.SZ,20131231,其他客户,P,7437000.0,,,CNY,300503
300503.SZ,20131231,其他主营业务,P,836300.0,591000.0,245300.0,CNY,300503
300503.SZ,20131231,其他,P,836300.0,591000.0,245300.0,CNY,300503
300503.SZ,20131231,主轴整机-PCB钻孔机,P,11669000.0,7098900.0,4570100.0,CNY,300503
300503.SZ,20131231,主轴整机-PCB成型机,P,28473300.0,17355800.0,11117500.0,CNY,300503
300503.SZ,20131231,主轴整机,P,193688502.6,121149417.39,72539085.21,CNY,300503
300503.SZ,20121231,高速加工中心,P,2079900.0,1005800.0,1074100.0,CNY,300503
300503.SZ,20121231,零配件及维修-其他,P,5590700.0,,,CNY,300503
300503.SZ,20121231,零配件及维修-PCB行业,P,53540800.0,,,CNY,300503
300503.SZ,20121231,零配件及维修,P,59131500.0,38155200.0,20976300.0,CNY,300503
300503.SZ,20121231,金属雕铣,P,224267500.0,,,CNY,300503
300503.SZ,20121231,数控雕铣机,P,224267500.0,148550800.0,75716700.0,CNY,300503
300503.SZ,20121231,富士康,P,142825200.0,,,CNY,300503
300503.SZ,20121231,其他客户,P,81442300.0,,,CNY,300503
300503.SZ,20121231,其他主营业务,P,115500.0,80200.0,35300.0,CNY,300503
300503.SZ,20121231,其他,P,115500.0,80200.0,35300.0,CNY,300503
300503.SZ,20121231,主轴整机-PCB钻孔机,P,9715600.0,5754400.0,3961200.0,CNY,300503
300503.SZ,20121231,主轴整机-PCB成型机,P,14954500.0,8873700.0,6080800.0,CNY,300503
300503.SZ,20121231,主轴整机,P,251133000.0,164265000.0,86868000.0,CNY,300503
300503.SZ,20111231,高速加工中心,P,577200.0,285700.0,291500.0,CNY,300503
300503.SZ,20111231,零配件及维修-其他,P,2136200.0,,,CNY,300503
300503.SZ,20111231,零配件及维修-PCB行业,P,49042400.0,,,CNY,300503
300503.SZ,20111231,零配件及维修,P,51178600.0,34478900.0,16699700.0,CNY,300503
300503.SZ,20111231,金属雕铣,P,65669500.0,,,CNY,300503
300503.SZ,20111231,数控雕铣机,P,65669500.0,39995500.0,25674000.0,CNY,300503
300503.SZ,20111231,富士康,P,720700.0,,,CNY,300503
300503.SZ,20111231,其他客户,P,64948800.0,,,CNY,300503
300503.SZ,20111231,其他主营业务,P,80000.0,48500.0,31500.0,CNY,300503
300503.SZ,20111231,其他,P,80000.0,48500.0,31500.0,CNY,300503
300503.SZ,20111231,主轴整机-PCB钻孔机,P,8628800.0,4906100.0,3722700.0,CNY,300503
300503.SZ,20111231,主轴整机-PCB成型机,P,12688500.0,6376500.0,6312000.0,CNY,300503
300503.SZ,20111231,主轴整机,P,87643900.0,51612200.0,36031700.0,CNY,300503
002896.SZ,20251231,配件,P,7556759.51,1090734.29,6466025.22,CNY,002896
002896.SZ,20251231,精密减速器,P,252360374.42,54109021.99,198251352.43,CNY,002896
002896.SZ,20251231,智能执行单元,P,391674571.11,98244162.55,293430408.56,CNY,002896
002896.SZ,20251231,减速电机,P,373487349.13,116607356.51,256879992.62,CNY,002896
002896.SZ,20251231,其他业务,P,15813283.68,1649030.22,14164253.46,CNY,002896
002896.SZ,20250630,配件,P,4108844.45,323122.44,3785722.01,CNY,002896
002896.SZ,20250630,精密减速器,P,115638490.67,27288893.14,88349597.53,CNY,002896
002896.SZ,20250630,智能执行单元,P,198613812.11,53703106.29,144910705.82,CNY,002896
002896.SZ,20250630,减速电机,P,190952230.01,61129722.48,129822507.53,CNY,002896
002896.SZ,20250630,其他业务,P,6704708.07,709667.62,5995040.45,CNY,002896
002896.SZ,20241231,配件,P,5939817.39,581602.31,5358215.08,CNY,002896
002896.SZ,20241231,精密减速器,P,242551909.71,56414827.53,186137082.18,CNY,002896
002896.SZ,20241231,智能执行单元,P,370217648.31,95793429.23,274424219.08,CNY,002896
002896.SZ,20241231,减速电机,P,345365270.39,98593612.72,246771657.67,CNY,002896
002896.SZ,20241231,其他业务,P,12268343.29,1518803.54,10749539.75,CNY,002896
002896.SZ,20240630,配件,P,2388079.98,73739.0,2314340.98,CNY,002896
002896.SZ,20240630,精密减速器,P,126445227.35,27032673.44,99412553.91,CNY,002896
002896.SZ,20240630,智能执行单元,P,206105346.68,52249250.26,153856096.42,CNY,002896
002896.SZ,20240630,减速电机,P,164765736.91,43931683.96,120834052.95,CNY,002896
002896.SZ,20240630,其他业务,P,5780434.64,747992.41,5032442.23,CNY,002896
002896.SZ,20231231,配件,P,5648450.73,862784.37,4785666.36,CNY,002896
002896.SZ,20231231,精密减速器,P,239987454.94,32483796.22,207503658.72,CNY,002896
002896.SZ,20231231,智能执行单元,P,484893574.23,114710171.96,370183402.27,CNY,002896
002896.SZ,20231231,减速电机,P,342699079.51,98525409.2,244173670.31,CNY,002896
002896.SZ,20231231,其他收入-产品,P,12756062.6,1846305.78,10909756.82,CNY,002896
002896.SZ,20231231,其他业务收入,P,12756062.6,1846305.78,10909756.82,CNY,002896
002896.SZ,20231231,其他业务,P,12756062.6,1846305.78,10909756.82,CNY,002896
002896.SZ,20230630,配件,P,2956996.13,468321.14,2488674.99,CNY,002896
002896.SZ,20230630,精密减速器,P,122531398.85,11590601.68,110940797.17,CNY,002896
002896.SZ,20230630,智能执行单元,P,241109133.31,53350115.22,187759018.09,CNY,002896
002896.SZ,20230630,减速电机,P,167348487.8,48146804.4,119201683.4,CNY,002896
002896.SZ,20230630,其他业务,P,5924892.43,746492.59,5178399.84,CNY,002896
002896.SZ,20221231,配件,P,3331155.16,469256.98,2861898.18,CNY,002896
002896.SZ,20221231,精密减速器,P,202813751.51,25795924.33,177017827.18,CNY,002896
002896.SZ,20221231,智能执行单元,P,307107460.41,78372296.91,228735163.5,CNY,002896
002896.SZ,20221231,减速电机,P,373280085.37,110380098.94,262899986.43,CNY,002896
002896.SZ,20221231,其他业务,P,11063031.63,1311074.97,9751956.66,CNY,002896
002896.SZ,20220630,配件,P,1141480.79,150795.48,990685.31,CNY,002896
002896.SZ,20220630,精密减速器,P,112521089.0,14602742.37,97918346.63,CNY,002896
002896.SZ,20220630,智能执行单元,P,133865992.01,33718383.54,100147608.47,CNY,002896
002896.SZ,20220630,减速电机,P,200254967.93,62545571.66,137709396.27,CNY,002896
002896.SZ,20220630,其他业务,P,5758201.32,691743.78,5066457.54,CNY,002896
002896.SZ,20211231,配件,P,2585101.98,130826.22,2454275.76,CNY,002896
002896.SZ,20211231,精密减速器,P,254440667.61,49164890.78,205275776.83,CNY,002896
002896.SZ,20211231,智能执行单元,P,147138720.96,40617452.23,106521268.73,CNY,002896
002896.SZ,20211231,减速电机,P,535351967.84,158910456.08,376441511.76,CNY,002896
002896.SZ,20211231,其他业务,P,13457327.42,1271298.12,12186029.3,CNY,002896
002896.SZ,20210630,配件,P,1473801.83,24031.93,1449769.9,CNY,002896
002896.SZ,20210630,减速电机,P,357565306.31,99816921.95,257748384.36,CNY,002896
002896.SZ,20210630,减速器,P,125867208.19,23774177.12,102093031.07,CNY,002896
002896.SZ,20210630,其他业务,P,7611954.28,567824.19,7044130.09,CNY,002896
002896.SZ,20201231,配件,P,3402887.83,820134.84,2582752.99,CNY,002896
002896.SZ,20201231,减速电机,P,557129949.99,160431633.31,396698316.68,CNY,002896
